名称,价格,预约次数,有效期,预约时段是否可变,预约座位是否可变,桌号,时间阶段1,时间阶段2,时间阶段3,时间阶段4,Unnamed: 11,Unnamed: 12,Unnamed: 13,test_col
体验卡1：2小时,0.0,1,当天有效,否,否,1,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,2,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,3,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,4,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,5,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,6,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,7,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,8,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,9,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,10,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,11,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
体验卡1：2小时,0.0,1,当天有效,否,否,12,8:00-10:00,10:00-12:00,13:00-15:00,15:00-17:00,,,,12345
